_geojson,Store ID,Store Name,STORE_LAT,STORE_LNG
"{""type"":""Feature"",""properties"":{""Store ID"":1930322157,""Store Name"":""Avocalia - Ciudad Judicial - Turbo"",""STORE_LAT"":19.01433007,""STORE_LNG"":-98.26950581},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-98.269506,19.04128],[-98.266003,19.041075],[-98.262553,19.040466],[-98.259209,19.03946],[-98.25602,19.038073],[-98.253037,19.036326],[-98.250302,19.034246],[-98.247859,19.031864],[-98.245744,19.029216],[-98.243989,19.026342],[-98.242621,19.023287],[-98.241661,19.020095],[-98.241123,19.016817],[-98.241015,19.0135],[-98.241338,19.010196],[-98.242089,19.006955],[-98.243256,19.003826],[-98.24482,19.000855],[-98.246759,18.998089],[-98.249042,18.99557],[-98.251635,18.993334],[-98.2545,18.991417],[-98.257592,18.989847],[-98.260865,18.988649],[-98.264268,18.987839],[-98.267751,18.987432],[-98.271261,18.987432],[-98.274744,18.987839],[-98.278147,18.988649],[-98.28142,18.989847],[-98.284512,18.991417],[-98.287376,18.993334],[-98.28997,18.99557],[-98.292253,18.998089],[-98.294192,19.000855],[-98.295756,19.003826],[-98.296922,19.006955],[-98.297673,19.010196],[-98.297997,19.0135],[-98.297889,19.016817],[-98.297351,19.020095],[-98.29639,19.023287],[-98.295022,19.026342],[-98.293267,19.029216],[-98.291152,19.031864],[-98.288709,19.034246],[-98.285975,19.036326],[-98.282991,19.038073],[-98.279803,19.03946],[-98.276459,19.040466],[-98.273009,19.041075],[-98.269506,19.04128]]]}}",1930322157,Avocalia - Ciudad Judicial - Turbo,19.01433007,-98.26950581
"{""type"":""Feature"",""properties"":{""Store ID"":1930323552,""Store Name"":""Avocalia - Lindavista - Turbo"",""STORE_LAT"":19.49147202,""STORE_LNG"":-99.15308432},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.153084,19.518421],[-99.149571,19.518217],[-99.146111,19.517608],[-99.142757,19.516602],[-99.13956,19.515215],[-99.136567,19.513468],[-99.133825,19.511388],[-99.131375,19.509006],[-99.129253,19.506358],[-99.127494,19.503484],[-99.126122,19.500429],[-99.125158,19.497237],[-99.124618,19.493959],[-99.12451,19.490642],[-99.124835,19.487338],[-99.125588,19.484097],[-99.126758,19.480968],[-99.128327,19.477997],[-99.130271,19.475231],[-99.132561,19.472712],[-99.135162,19.470476],[-99.138035,19.468559],[-99.141136,19.466989],[-99.144418,19.465791],[-99.147831,19.464981],[-99.151324,19.464574],[-99.154844,19.464574],[-99.158337,19.464981],[-99.161751,19.465791],[-99.165033,19.466989],[-99.168134,19.468559],[-99.171007,19.470476],[-99.173608,19.472712],[-99.175898,19.475231],[-99.177842,19.477997],[-99.179411,19.480968],[-99.180581,19.484097],[-99.181334,19.487338],[-99.181659,19.490642],[-99.18155,19.493959],[-99.18101,19.497237],[-99.180047,19.500429],[-99.178675,19.503484],[-99.176915,19.506358],[-99.174794,19.509006],[-99.172344,19.511388],[-99.169602,19.513468],[-99.166609,19.515215],[-99.163411,19.516602],[-99.160057,19.517608],[-99.156597,19.518217],[-99.153084,19.518421]]]}}",1930323552,Avocalia - Lindavista - Turbo,19.49147202,-99.15308432
"{""type"":""Feature"",""properties"":{""Store ID"":1930214657,""Store Name"":""Avocalia - Coapa - Turbo"",""STORE_LAT"":19.30534942,""STORE_LNG"":-99.12708748},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.127087,19.332299],[-99.123578,19.332095],[-99.120122,19.331485],[-99.116772,19.330479],[-99.113578,19.329092],[-99.110589,19.327345],[-99.10785,19.325265],[-99.105403,19.322883],[-99.103284,19.320235],[-99.101526,19.317362],[-99.100156,19.314306],[-99.099193,19.311115],[-99.098654,19.307836],[-99.098546,19.30452],[-99.09887,19.301216],[-99.099622,19.297974],[-99.100791,19.294845],[-99.102358,19.291875],[-99.1043,19.289109],[-99.106587,19.286589],[-99.109186,19.284354],[-99.112055,19.282437],[-99.115153,19.280867],[-99.118431,19.279668],[-99.12184,19.278859],[-99.12533,19.278451],[-99.128845,19.278451],[-99.132334,19.278859],[-99.135744,19.279668],[-99.139022,19.280867],[-99.14212,19.282437],[-99.144989,19.284354],[-99.147588,19.286589],[-99.149875,19.289109],[-99.151817,19.291875],[-99.153384,19.294845],[-99.154553,19.297974],[-99.155305,19.301216],[-99.155629,19.30452],[-99.155521,19.307836],[-99.154981,19.311115],[-99.154019,19.314306],[-99.152649,19.317362],[-99.150891,19.320235],[-99.148772,19.322883],[-99.146325,19.325265],[-99.143586,19.327345],[-99.140597,19.329092],[-99.137403,19.330479],[-99.134052,19.331485],[-99.130597,19.332095],[-99.127087,19.332299]]]}}",1930214657,Avocalia - Coapa - Turbo,19.30534942,-99.12708748
"{""type"":""Feature"",""properties"":{""Store ID"":1930294778,""Store Name"":""Avocalia - Tec de Monterrey - Turbo"",""STORE_LAT"":25.6559117,""STORE_LNG"":-100.2920663},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-100.292066,25.682861],[-100.288392,25.682657],[-100.284774,25.682047],[-100.281266,25.681041],[-100.277922,25.679655],[-100.274793,25.677908],[-100.271925,25.675828],[-100.269362,25.673446],[-100.267144,25.670798],[-100.265304,25.667924],[-100.263869,25.664868],[-100.262861,25.661677],[-100.262297,25.658398],[-100.262183,25.655082],[-100.262523,25.651778],[-100.263311,25.648537],[-100.264534,25.645407],[-100.266175,25.642437],[-100.268208,25.639671],[-100.270603,25.637151],[-100.273323,25.634916],[-100.276328,25.632999],[-100.279571,25.631429],[-100.283003,25.63023],[-100.286573,25.629421],[-100.290226,25.629013],[-100.293907,25.629013],[-100.29756,25.629421],[-100.30113,25.63023],[-100.304562,25.631429],[-100.307805,25.632999],[-100.310809,25.634916],[-100.31353,25.637151],[-100.315925,25.639671],[-100.317958,25.642437],[-100.319599,25.645407],[-100.320822,25.648537],[-100.321609,25.651778],[-100.321949,25.655082],[-100.321836,25.658398],[-100.321271,25.661677],[-100.320264,25.664868],[-100.318829,25.667924],[-100.316989,25.670798],[-100.31477,25.673446],[-100.312208,25.675828],[-100.30934,25.677908],[-100.30621,25.679655],[-100.302866,25.681041],[-100.299359,25.682047],[-100.29574,25.682657],[-100.292066,25.682861]]]}}",1930294778,Avocalia - Tec de Monterrey - Turbo,25.6559117,-100.2920663
"{""type"":""Feature"",""properties"":{""Store ID"":1930294777,""Store Name"":""Avocalia - Roma - Turbo"",""STORE_LAT"":19.42041315,""STORE_LNG"":-99.14577064},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.145771,19.447363],[-99.142259,19.447158],[-99.138801,19.446549],[-99.135448,19.445543],[-99.132252,19.444156],[-99.129261,19.442409],[-99.12652,19.440329],[-99.12407,19.437947],[-99.12195,19.435299],[-99.120191,19.432426],[-99.11882,19.42937],[-99.117857,19.426179],[-99.117317,19.4229],[-99.117209,19.419583],[-99.117534,19.416279],[-99.118286,19.413038],[-99.119456,19.409909],[-99.121024,19.406938],[-99.122967,19.404172],[-99.125256,19.401653],[-99.127856,19.399417],[-99.130728,19.3975],[-99.133827,19.395931],[-99.137108,19.394732],[-99.14052,19.393923],[-99.144012,19.393515],[-99.14753,19.393515],[-99.151021,19.393923],[-99.154433,19.394732],[-99.157714,19.395931],[-99.160814,19.3975],[-99.163685,19.399417],[-99.166285,19.401653],[-99.168574,19.404172],[-99.170518,19.406938],[-99.172086,19.409909],[-99.173255,19.413038],[-99.174008,19.416279],[-99.174332,19.419583],[-99.174224,19.4229],[-99.173684,19.426179],[-99.172722,19.42937],[-99.17135,19.432426],[-99.169591,19.435299],[-99.167471,19.437947],[-99.165022,19.440329],[-99.162281,19.442409],[-99.159289,19.444156],[-99.156093,19.445543],[-99.152741,19.446549],[-99.149282,19.447158],[-99.145771,19.447363]]]}}",1930294777,Avocalia - Roma - Turbo,19.42041315,-99.14577064
"{""type"":""Feature"",""properties"":{""Store ID"":1930322159,""Store Name"":""Avocalia - El Prado - Turbo"",""STORE_LAT"":19.35912386,""STORE_LNG"":-99.13635615},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.136356,19.386073],[-99.132846,19.385869],[-99.129389,19.385259],[-99.126037,19.384253],[-99.122842,19.382867],[-99.119852,19.38112],[-99.117112,19.37904],[-99.114664,19.376658],[-99.112545,19.37401],[-99.110786,19.371136],[-99.109415,19.368081],[-99.108453,19.364889],[-99.107913,19.36161],[-99.107805,19.358294],[-99.10813,19.35499],[-99.108882,19.351749],[-99.110051,19.348619],[-99.111619,19.345649],[-99.113561,19.342883],[-99.115849,19.340363],[-99.118448,19.338128],[-99.121319,19.336211],[-99.124417,19.334641],[-99.127697,19.333443],[-99.131107,19.332633],[-99.134598,19.332226],[-99.138115,19.332226],[-99.141605,19.332633],[-99.145016,19.333443],[-99.148295,19.334641],[-99.151393,19.336211],[-99.154264,19.338128],[-99.156863,19.340363],[-99.159151,19.342883],[-99.161094,19.345649],[-99.162661,19.348619],[-99.16383,19.351749],[-99.164583,19.35499],[-99.164907,19.358294],[-99.164799,19.36161],[-99.164259,19.364889],[-99.163297,19.368081],[-99.161926,19.371136],[-99.160168,19.37401],[-99.158048,19.376658],[-99.1556,19.37904],[-99.15286,19.38112],[-99.14987,19.382867],[-99.146675,19.384253],[-99.143323,19.385259],[-99.139866,19.385869],[-99.136356,19.386073]]]}}",1930322159,Avocalia - El Prado - Turbo,19.35912386,-99.13635615
"{""type"":""Feature"",""properties"":{""Store ID"":1930278036,""Store Name"":""Avocalia - Del Valle - Turbo"",""STORE_LAT"":19.3738534,""STORE_LNG"":-99.188999},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.188999,19.400803],[-99.185488,19.400599],[-99.182031,19.399989],[-99.178679,19.398983],[-99.175484,19.397596],[-99.172494,19.395849],[-99.169753,19.393769],[-99.167305,19.391387],[-99.165185,19.388739],[-99.163427,19.385866],[-99.162056,19.38281],[-99.161093,19.379619],[-99.160554,19.37634],[-99.160445,19.373023],[-99.16077,19.36972],[-99.161522,19.366478],[-99.162691,19.363349],[-99.164259,19.360379],[-99.166202,19.357613],[-99.16849,19.355093],[-99.17109,19.352858],[-99.17396,19.350941],[-99.177059,19.349371],[-99.180339,19.348172],[-99.18375,19.347363],[-99.18724,19.346955],[-99.190758,19.346955],[-99.194248,19.347363],[-99.197659,19.348172],[-99.200939,19.349371],[-99.204038,19.350941],[-99.206908,19.352858],[-99.209508,19.355093],[-99.211796,19.357613],[-99.213739,19.360379],[-99.215307,19.363349],[-99.216476,19.366478],[-99.217228,19.36972],[-99.217553,19.373023],[-99.217444,19.37634],[-99.216905,19.379619],[-99.215942,19.38281],[-99.214571,19.385866],[-99.212813,19.388739],[-99.210693,19.391387],[-99.208245,19.393769],[-99.205504,19.395849],[-99.202514,19.397596],[-99.199319,19.398983],[-99.195967,19.399989],[-99.19251,19.400599],[-99.188999,19.400803]]]}}",1930278036,Avocalia - Del Valle - Turbo,19.3738534,-99.188999
"{""type"":""Feature"",""properties"":{""Store ID"":1930290414,""Store Name"":""Avocalia - San Angel - Turbo"",""STORE_LAT"":19.3472217,""STORE_LNG"":-99.1904483},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-99.190448,19.374171],[-99.186938,19.373967],[-99.183482,19.373357],[-99.18013,19.372351],[-99.176936,19.370965],[-99.173946,19.369218],[-99.171206,19.367138],[-99.168758,19.364756],[-99.166639,19.362108],[-99.16488,19.359234],[-99.16351,19.356178],[-99.162547,19.352987],[-99.162008,19.349708],[-99.161899,19.346392],[-99.162224,19.343088],[-99.162976,19.339847],[-99.164145,19.336717],[-99.165713,19.333747],[-99.167655,19.330981],[-99.169943,19.328461],[-99.172542,19.326226],[-99.175412,19.324309],[-99.17851,19.322739],[-99.18179,19.32154],[-99.1852,19.320731],[-99.18869,19.320323],[-99.192207,19.320323],[-99.195697,19.320731],[-99.199107,19.32154],[-99.202386,19.322739],[-99.205484,19.324309],[-99.208355,19.326226],[-99.210954,19.328461],[-99.213242,19.330981],[-99.215184,19.333747],[-99.216752,19.336717],[-99.21792,19.339847],[-99.218673,19.343088],[-99.218997,19.346392],[-99.218889,19.349708],[-99.218349,19.352987],[-99.217387,19.356178],[-99.216016,19.359234],[-99.214258,19.362108],[-99.212139,19.364756],[-99.209691,19.367138],[-99.206951,19.369218],[-99.203961,19.370965],[-99.200766,19.372351],[-99.197415,19.373357],[-99.193958,19.373967],[-99.190448,19.374171]]]}}",1930290414,Avocalia - San Angel - Turbo,19.3472217,-99.1904483
"{""type"":""Feature"",""properties"":{""Store ID"":1930292023,""Store Name"":""Avocalia - Jardines Guadalajara - Turbo"",""STORE_LAT"":20.6871586,""STORE_LNG"":-103.4241984},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-103.424198,20.714108],[-103.420658,20.713904],[-103.417172,20.713294],[-103.413792,20.712288],[-103.41057,20.710901],[-103.407555,20.709155],[-103.404791,20.707074],[-103.402322,20.704692],[-103.400185,20.702045],[-103.398412,20.699171],[-103.397029,20.696115],[-103.396058,20.692924],[-103.395514,20.689645],[-103.395405,20.686329],[-103.395732,20.683025],[-103.396491,20.679784],[-103.39767,20.676654],[-103.399251,20.673684],[-103.40121,20.670918],[-103.403518,20.668398],[-103.406139,20.666163],[-103.409034,20.664246],[-103.412158,20.662676],[-103.415466,20.661477],[-103.418905,20.660668],[-103.422425,20.66026],[-103.425972,20.66026],[-103.429492,20.660668],[-103.432931,20.661477],[-103.436239,20.662676],[-103.439363,20.664246],[-103.442258,20.666163],[-103.444879,20.668398],[-103.447187,20.670918],[-103.449146,20.673684],[-103.450727,20.676654],[-103.451906,20.679784],[-103.452664,20.683025],[-103.452992,20.686329],[-103.452882,20.689645],[-103.452338,20.692924],[-103.451368,20.696115],[-103.449985,20.699171],[-103.448212,20.702045],[-103.446074,20.704692],[-103.443605,20.707074],[-103.440842,20.709155],[-103.437827,20.710901],[-103.434605,20.712288],[-103.431225,20.713294],[-103.427738,20.713904],[-103.424198,20.714108]]]}}",1930292023,Avocalia - Jardines Guadalajara - Turbo,20.6871586,-103.4241984
"{""type"":""Feature"",""properties"":{""Store ID"":1930322165,""Store Name"":""Avocalia - La Calma - Turbo"",""STORE_LAT"":20.640052,""STORE_LNG"":-103.4200824},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-103.420082,20.667001],[-103.416543,20.666797],[-103.413058,20.666188],[-103.409679,20.665182],[-103.406458,20.663795],[-103.403444,20.662048],[-103.400681,20.659968],[-103.398213,20.657586],[-103.396076,20.654938],[-103.394304,20.652064],[-103.392922,20.649009],[-103.391951,20.645817],[-103.391407,20.642539],[-103.391298,20.639222],[-103.391625,20.635918],[-103.392384,20.632677],[-103.393562,20.629547],[-103.395143,20.626577],[-103.397101,20.623811],[-103.399408,20.621292],[-103.402028,20.619056],[-103.404922,20.617139],[-103.408046,20.615569],[-103.411352,20.614371],[-103.414791,20.613561],[-103.41831,20.613154],[-103.421855,20.613154],[-103.425374,20.613561],[-103.428813,20.614371],[-103.432119,20.615569],[-103.435243,20.617139],[-103.438136,20.619056],[-103.440757,20.621292],[-103.443064,20.623811],[-103.445022,20.626577],[-103.446603,20.629547],[-103.447781,20.632677],[-103.448539,20.635918],[-103.448867,20.639222],[-103.448757,20.642539],[-103.448214,20.645817],[-103.447243,20.649009],[-103.445861,20.652064],[-103.444088,20.654938],[-103.441952,20.657586],[-103.439483,20.659968],[-103.436721,20.662048],[-103.433707,20.663795],[-103.430485,20.665182],[-103.427107,20.666188],[-103.423621,20.666797],[-103.420082,20.667001]]]}}",1930322165,Avocalia - La Calma - Turbo,20.640052,-103.4200824
